timestamp,altitude,lat,lon,station,wind_speed,wind_direction
2026-09-10T18:00,1000.0,36.297,59.606,Mashhad,18.5,162.0
2026-09-10T18:00,1500.0,36.297,59.606,Mashhad,17.3,102.0
2026-09-10T18:00,2000.0,36.297,59.606,Mashhad,19.2,115.0
2026-09-10T19:00,500.0,36.297,59.606,Mashhad,7.8,174.0
2026-09-10T19:00,1000.0,36.297,59.606,Mashhad,17.9,169.0
2026-09-10T19:00,1500.0,36.297,59.606,Mashhad,18.0,126.0
2026-09-10T19:00,2000.0,36.297,59.606,Mashhad,17.2,107.0
2026-09-10T20:00,500.0,36.297,59.606,Mashhad,5.8,176.0
2026-09-10T20:00,1000.0,36.297,59.606,Mashhad,15.2,174.0
2026-09-10T20:00,1500.0,36.297,59.606,Mashhad,13.9,128.0
2026-09-10T20:00,2000.0,36.297,59.606,Mashhad,15.1,96.0
2026-09-10T21:00,500.0,36.297,59.606,Mashhad,5.4,180.0
2026-09-10T21:00,1000.0,36.297,59.606,Mashhad,14.2,178.0
2026-09-10T21:00,1500.0,36.297,59.606,Mashhad,11.3,137.0
2026-09-10T21:00,2000.0,36.297,59.606,Mashhad,11.0,90.0
2026-09-10T22:00,500.0,36.297,59.606,Mashhad,4.3,190.0
2026-09-10T22:00,1000.0,36.297,59.606,Mashhad,12.2,186.0
2026-09-10T22:00,1500.0,36.297,59.606,Mashhad,9.8,143.0
2026-09-10T22:00,2000.0,36.297,59.606,Mashhad,8.5,90.0
2026-09-10T23:00,500.0,36.297,59.606,Mashhad,3.5,174.0
2026-09-10T23:00,1000.0,36.297,59.606,Mashhad,8.8,177.0
2026-09-10T23:00,1500.0,36.297,59.606,Mashhad,8.0,121.0
2026-09-10T23:00,2000.0,36.297,59.606,Mashhad,7.0,86.0
2026-09-10T00:00,500.0,36.213,58.795,Neyshabur,8.2,329.0
2026-09-10T00:00,1000.0,36.213,58.795,Neyshabur,8.3,330.0
2026-09-10T00:00,1500.0,36.213,58.795,Neyshabur,8.6,328.0
2026-09-10T00:00,2000.0,36.213,58.795,Neyshabur,22.6,121.0
2026-09-10T01:00,500.0,36.213,58.795,Neyshabur,8.2,315.0
2026-09-10T01:00,1000.0,36.213,58.795,Neyshabur,8.3,315.0
2026-09-10T01:00,1500.0,36.213,58.795,Neyshabur,10.3,315.0
2026-09-10T01:00,2000.0,36.213,58.795,Neyshabur,23.3,115.0
2026-09-10T02:00,500.0,36.213,58.795,Neyshabur,7.6,294.0
2026-09-10T02:00,1000.0,36.213,58.795,Neyshabur,7.3,294.0
2026-09-10T02:00,1500.0,36.213,58.795,Neyshabur,12.0,307.0
2026-09-10T02:00,2000.0,36.213,58.795,Neyshabur,11.6,115.0
2026-09-10T03:00,500.0,36.213,58.795,Neyshabur,6.7,280.0
2026-09-10T03:00,1000.0,36.213,58.795,Neyshabur,6.8,281.0
2026-09-10T03:00,1500.0,36.213,58.795,Neyshabur,13.9,302.0
2026-09-10T03:00,2000.0,36.213,58.795,Neyshabur,7.8,105.0
2026-09-10T04:00,500.0,36.213,58.795,Neyshabur,2.7,262.0
2026-09-10T04:00,1000.0,36.213,58.795,Neyshabur,2.5,261.0
2026-09-10T04:00,1500.0,36.213,58.795,Neyshabur,8.2,304.0
2026-09-10T04:00,2000.0,36.213,58.795,Neyshabur,5.0,84.0
2026-09-10T05:00,500.0,36.213,58.795,Neyshabur,5.8,266.0
2026-09-10T05:00,1000.0,36.213,58.795,Neyshabur,5.9,266.0
2026-09-10T05:00,1500.0,36.213,58.795,Neyshabur,5.9,270.0
2026-09-10T05:00,2000.0,36.213,58.795,Neyshabur,4.6,103.0
2026-09-10T06:00,500.0,36.213,58.795,Neyshabur,4.3,243.0
2026-09-10T06:00,1000.0,36.213,58.795,Neyshabur,4.1,246.0
2026-09-10T06:00,1500.0,36.213,58.795,Neyshabur,3.9,234.0
2026-09-10T06:00,2000.0,36.213,58.795,Neyshabur,6.7,103.0
2026-09-10T07:00,500.0,36.213,58.795,Neyshabur,1.7,243.0
2026-09-10T07:00,1000.0,36.213,58.795,Neyshabur,1.9,243.0
2026-09-10T07:00,1500.0,36.213,58.795,Neyshabur,1.3,225.0
2026-09-10T07:00,2000.0,36.213,58.795,Neyshabur,5.9,110.0
2026-09-10T08:00,500.0,36.213,58.795,Neyshabur,2.4,189.0
2026-09-10T08:00,1000.0,36.213,58.795,Neyshabur,2.1,191.0
2026-09-10T08:00,1500.0,36.213,58.795,Neyshabur,2.7,180.0
2026-09-10T08:00,2000.0,36.213,58.795,Neyshabur,3.0,171.0
2026-09-10T09:00,500.0,36.213,58.795,Neyshabur,3.9,169.0
2026-09-10T09:00,1000.0,36.213,58.795,Neyshabur,3.9,167.0
2026-09-10T09:00,1500.0,36.213,58.795,Neyshabur,4.8,163.0
2026-09-10T09:00,2000.0,36.213,58.795,Neyshabur,4.7,162.0
2026-09-10T10:00,500.0,36.213,58.795,Neyshabur,4.3,170.0
2026-09-10T10:00,1000.0,36.213,58.795,Neyshabur,4.3,169.0
2026-09-10T10:00,1500.0,36.213,58.795,Neyshabur,4.3,162.0
2026-09-10T10:00,2000.0,36.213,58.795,Neyshabur,4.0,150.0
2026-09-10T11:00,500.0,36.213,58.795,Neyshabur,3.7,198.0
2026-09-10T11:00,1000.0,36.213,58.795,Neyshabur,4.0,198.0
2026-09-10T11:00,1500.0,36.213,58.795,Neyshabur,3.9,201.0
2026-09-10T11:00,2000.0,36.213,58.795,Neyshabur,3.4,207.0
2026-09-10T12:00,500.0,36.213,58.795,Neyshabur,12.6,169.0
2026-09-10T12:00,1000.0,36.213,58.795,Neyshabur,12.7,171.0
2026-09-10T12:00,1500.0,36.213,58.795,Neyshabur,12.4,172.0
2026-09-10T12:00,2000.0,36.213,58.795,Neyshabur,7.6,191.0
2026-09-10T13:00,500.0,36.213,58.795,Neyshabur,25.0,145.0
2026-09-10T13:00,1000.0,36.213,58.795,Neyshabur,25.0,145.0
2026-09-10T13:00,1500.0,36.213,58.795,Neyshabur,28.6,143.0
2026-09-10T13:00,2000.0,36.213,58.795,Neyshabur,6.3,288.0
2026-09-10T14:00,500.0,36.213,58.795,Neyshabur,29.6,137.0
2026-09-10T14:00,1000.0,36.213,58.795,Neyshabur,29.6,137.0
2026-09-10T14:00,1500.0,36.213,58.795,Neyshabur,37.1,135.0
2026-09-10T14:00,2000.0,36.213,58.795,Neyshabur,11.9,303.0
2026-09-10T15:00,500.0,36.213,58.795,Neyshabur,27.1,137.0
2026-09-10T15:00,1000.0,36.213,58.795,Neyshabur,27.0,137.0
2026-09-10T15:00,1500.0,36.213,58.795,Neyshabur,35.8,127.0
2026-09-10T15:00,2000.0,36.213,58.795,Neyshabur,3.5,315.0
2026-09-10T16:00,500.0,36.213,58.795,Neyshabur,20.8,138.0
2026-09-10T16:00,1000.0,36.213,58.795,Neyshabur,20.8,138.0
2026-09-10T16:00,1500.0,36.213,58.795,Neyshabur,28.7,115.0
2026-09-10T16:00,2000.0,36.213,58.795,Neyshabur,7.1,39.0
2026-09-10T17:00,500.0,36.213,58.795,Neyshabur,18.2,151.0
2026-09-10T17:00,1000.0,36.213,58.795,Neyshabur,18.2,151.0
2026-09-10T17:00,1500.0,36.213,58.795,Neyshabur,21.3,132.0
2026-09-10T17:00,2000.0,36.213,58.795,Neyshabur,10.2,11.0
2026-09-10T18:00,500.0,36.213,58.795,Neyshabur,6.6,135.0
2026-09-10T18:00,1000.0,36.213,58.795,Neyshabur,6.5,135.0
2026-09-10T18:00,1500.0,36.213,58.795,Neyshabur,8.5,106.0
2026-09-10T18:00,2000.0,36.213,58.795,Neyshabur,16.4,348.0
2026-09-10T19:00,500.0,36.213,58.795,Neyshabur,2.1,158.0
2026-09-10T19:00,1000.0,36.213,58.795,Neyshabur,2.1,169.0
2026-09-10T19:00,1500.0,36.213,58.795,Neyshabur,4.8,343.0
2026-09-10T19:00,2000.0,36.213,58.795,Neyshabur,23.3,337.0
2026-09-10T20:00,500.0,36.213,58.795,Neyshabur,3.3,135.0
2026-09-10T20:00,1000.0,36.213,58.795,Neyshabur,3.3,140.0
2026-09-10T20:00,1500.0,36.213,58.795,Neyshabur,5.2,315.0
2026-09-10T20:00,2000.0,36.213,58.795,Neyshabur,22.3,351.0
2026-09-10T21:00,500.0,36.213,58.795,Neyshabur,4.7,125.0
2026-09-10T21:00,1000.0,36.213,58.795,Neyshabur,5.1,125.0
2026-09-10T21:00,1500.0,36.213,58.795,Neyshabur,1.6,304.0
2026-09-10T21:00,2000.0,36.213,58.795,Neyshabur,17.7,352.0
2026-09-10T22:00,500.0,36.213,58.795,Neyshabur,3.3,144.0
2026-09-10T22:00,1000.0,36.213,58.795,Neyshabur,3.6,144.0
2026-09-10T22:00,1500.0,36.213,58.795,Neyshabur,0.5,360.0
2026-09-10T22:00,2000.0,36.213,58.795,Neyshabur,14.0,356.0
2026-09-10T23:00,500.0,36.213,58.795,Neyshabur,0.8,180.0
2026-09-10T23:00,1000.0,36.213,58.795,Neyshabur,0.4,180.0
2026-09-10T23:00,1500.0,36.213,58.795,Neyshabur,2.9,321.0
2026-09-10T23:00,2000.0,36.213,58.795,Neyshabur,13.0,344.0
2026-09-10T00:00,500.0,36.215,57.678,Sabzevar,16.3,118.0
2026-09-10T00:00,1000.0,36.215,57.678,Sabzevar,23.4,117.0
2026-09-10T00:00,1500.0,36.215,57.678,Sabzevar,25.3,67.0
2026-09-10T00:00,2000.0,36.215,57.678,Sabzevar,30.0,75.0
2026-09-10T01:00,500.0,36.215,57.678,Sabzevar,16.3,118.0
2026-09-10T01:00,1000.0,36.215,57.678,Sabzevar,24.5,115.0
2026-09-10T01:00,1500.0,36.215,57.678,Sabzevar,25.8,69.0
2026-09-10T01:00,2000.0,36.215,57.678,Sabzevar,26.3,69.0
2026-09-10T02:00,500.0,36.215,57.678,Sabzevar,17.0,114.0
2026-09-10T02:00,1000.0,36.215,57.678,Sabzevar,26.1,114.0
2026-09-10T02:00,1500.0,36.215,57.678,Sabzevar,26.9,71.0
2026-09-10T02:00,2000.0,36.215,57.678,Sabzevar,26.7,67.0
2026-09-10T03:00,500.0,36.215,57.678,Sabzevar,18.0,118.0
2026-09-10T03:00,1000.0,36.215,57.678,Sabzevar,25.1,118.0
2026-09-10T03:00,1500.0,36.215,57.678,Sabzevar,26.3,62.0
2026-09-10T03:00,2000.0,36.215,57.678,Sabzevar,23.7,62.0
2026-09-10T04:00,500.0,36.215,57.678,Sabzevar,23.7,116.0
2026-09-10T04:00,1000.0,36.215,57.678,Sabzevar,28.8,116.0
2026-09-10T04:00,1500.0,36.215,57.678,Sabzevar,27.1,61.0
2026-09-10T04:00,2000.0,36.215,57.678,Sabzevar,22.2,67.0
2026-09-10T05:00,500.0,36.215,57.678,Sabzevar,26.4,112.0
2026-09-10T05:00,1000.0,36.215,57.678,Sabzevar,31.0,111.0
2026-09-10T05:00,1500.0,36.215,57.678,Sabzevar,26.5,66.0
2026-09-10T05:00,2000.0,36.215,57.678,Sabzevar,20.2,67.0
2026-09-10T06:00,500.0,36.215,57.678,Sabzevar,22.6,103.0
2026-09-10T06:00,1000.0,36.215,57.678,Sabzevar,24.8,102.0
2026-09-10T06:00,1500.0,36.215,57.678,Sabzevar,24.6,90.0
2026-09-10T06:00,2000.0,36.215,57.678,Sabzevar,19.6,71.0
2026-09-10T07:00,500.0,36.215,57.678,Sabzevar,18.4,98.0
2026-09-10T07:00,1000.0,36.215,57.678,Sabzevar,19.8,97.0
2026-09-10T07:00,1500.0,36.215,57.678,Sabzevar,20.1,86.0
2026-09-10T07:00,2000.0,36.215,57.678,Sabzevar,20.2,70.0
2026-09-10T08:00,500.0,36.215,57.678,Sabzevar,14.0,96.0
2026-09-10T08:00,1000.0,36.215,57.678,Sabzevar,14.7,95.0
2026-09-10T08:00,1500.0,36.215,57.678,Sabzevar,14.8,79.0
2026-09-10T08:00,2000.0,36.215,57.678,Sabzevar,16.3,63.0
2026-09-10T09:00,500.0,36.215,57.678,Sabzevar,9.3,88.0
2026-09-10T09:00,1000.0,36.215,57.678,Sabzevar,9.7,85.0
2026-09-10T09:00,1500.0,36.215,57.678,Sabzevar,10.4,67.0
2026-09-10T09:00,2000.0,36.215,57.678,Sabzevar,11.4,52.0
2026-09-10T10:00,500.0,36.215,57.678,Sabzevar,6.6,50.0
2026-09-10T10:00,1000.0,36.215,57.678,Sabzevar,6.8,47.0
