timestamp,station,lat,lon,speed,direction
2026-08-30 11:00:00,Neyshabur,36.213,58.795,5.0,240
2026-08-30 12:00:00,Neyshabur,36.213,58.795,7.0,192
2026-08-30 13:00:00,Neyshabur,36.213,58.795,23.7,158
2026-08-30 14:00:00,Neyshabur,36.213,58.795,34.9,131
2026-08-30 15:00:00,Neyshabur,36.213,58.795,30.4,121
2026-08-30 16:00:00,Neyshabur,36.213,58.795,20.6,134
2026-08-30 17:00:00,Neyshabur,36.213,58.795,15.9,152
2026-08-30 18:00:00,Neyshabur,36.213,58.795,10.8,159
2026-08-30 19:00:00,Neyshabur,36.213,58.795,7.2,162
2026-08-30 20:00:00,Neyshabur,36.213,58.795,4.7,122
2026-08-30 21:00:00,Neyshabur,36.213,58.795,3.2,63
2026-08-30 22:00:00,Neyshabur,36.213,58.795,4.3,5
2026-08-30 23:00:00,Neyshabur,36.213,58.795,2.9,30
2026-08-29 00:00:00,Sabzevar,36.215,57.678,8.7,30
2026-08-29 01:00:00,Sabzevar,36.215,57.678,7.8,34
2026-08-29 02:00:00,Sabzevar,36.215,57.678,6.1,50
2026-08-29 03:00:00,Sabzevar,36.215,57.678,7.5,55
2026-08-29 04:00:00,Sabzevar,36.215,57.678,9.7,92
2026-08-29 05:00:00,Sabzevar,36.215,57.678,13.7,108
2026-08-29 06:00:00,Sabzevar,36.215,57.678,17.2,119
2026-08-29 07:00:00,Sabzevar,36.215,57.678,14.5,117
2026-08-29 08:00:00,Sabzevar,36.215,57.678,11.3,117
2026-08-29 09:00:00,Sabzevar,36.215,57.678,13.2,112
2026-08-29 10:00:00,Sabzevar,36.215,57.678,14.9,110
2026-08-29 11:00:00,Sabzevar,36.215,57.678,14.1,109
2026-08-29 12:00:00,Sabzevar,36.215,57.678,15.8,125
2026-08-29 13:00:00,Sabzevar,36.215,57.678,17.3,121
2026-08-29 14:00:00,Sabzevar,36.215,57.678,15.0,117
2026-08-29 15:00:00,Sabzevar,36.215,57.678,11.7,101
2026-08-29 16:00:00,Sabzevar,36.215,57.678,26.1,123
2026-08-29 17:00:00,Sabzevar,36.215,57.678,24.7,119
2026-08-29 18:00:00,Sabzevar,36.215,57.678,17.5,109
2026-08-29 19:00:00,Sabzevar,36.215,57.678,12.4,80
2026-08-29 20:00:00,Sabzevar,36.215,57.678,10.8,53
2026-08-29 21:00:00,Sabzevar,36.215,57.678,10.5,52
2026-08-29 22:00:00,Sabzevar,36.215,57.678,9.4,67
2026-08-29 23:00:00,Sabzevar,36.215,57.678,7.7,62
2026-08-30 00:00:00,Sabzevar,36.215,57.678,7.3,57
2026-08-30 01:00:00,Sabzevar,36.215,57.678,8.1,58
2026-08-30 02:00:00,Sabzevar,36.215,57.678,7.7,53
2026-08-30 03:00:00,Sabzevar,36.215,57.678,6.9,62
2026-08-30 04:00:00,Sabzevar,36.215,57.678,9.7,90
2026-08-30 05:00:00,Sabzevar,36.215,57.678,14.3,102
2026-08-30 06:00:00,Sabzevar,36.215,57.678,16.3,112
2026-08-30 07:00:00,Sabzevar,36.215,57.678,10.2,113
2026-08-30 08:00:00,Sabzevar,36.215,57.678,6.5,109
2026-08-30 09:00:00,Sabzevar,36.215,57.678,6.8,122
2026-08-30 10:00:00,Sabzevar,36.215,57.678,8.5,126
2026-08-30 11:00:00,Sabzevar,36.215,57.678,10.5,139
2026-08-30 12:00:00,Sabzevar,36.215,57.678,11.2,147
2026-08-30 13:00:00,Sabzevar,36.215,57.678,11.0,131
2026-08-30 14:00:00,Sabzevar,36.215,57.678,8.0,85
2026-08-30 15:00:00,Sabzevar,36.215,57.678,9.0,37
2026-08-30 16:00:00,Sabzevar,36.215,57.678,15.8,35
2026-08-30 17:00:00,Sabzevar,36.215,57.678,27.8,86
2026-08-30 18:00:00,Sabzevar,36.215,57.678,24.5,92
2026-08-30 19:00:00,Sabzevar,36.215,57.678,23.8,87
2026-08-30 20:00:00,Sabzevar,36.215,57.678,21.3,74
2026-08-30 21:00:00,Sabzevar,36.215,57.678,21.3,66
2026-08-30 22:00:00,Sabzevar,36.215,57.678,20.0,72
2026-08-30 23:00:00,Sabzevar,36.215,57.678,17.8,69
